Distance/m,Elevation of N2/m,Elevation of N3/m,Elevation of N4/m,Elevation of N5/m,Elevation of N6/m,Elevation of N7/m,Elevation of N8/m
260,0.410239099,0.003831214,-0.327581155,2.118263196,1.616216421,1.324262668,-0.776408523
261,0.393460185,-0.020878086,-0.333976349,2.129710774,1.633279616,1.247189114,-0.801262309
262,0.37668127,-0.045587385,-0.340371542,2.141158352,1.650342811,1.170115561,-0.826116094
263,0.363190226,-0.072583455,-0.346766736,2.15260593,1.564386243,1.093042008,-0.850969879
264,0.349838329,-0.100986658,-0.35316193,2.163195615,1.467348074,1.015968455,-0.875823664
265,0.336486431,-0.129389861,-0.359557123,2.173558444,1.370309905,0.938894901,-0.900677449
266,0.323134534,-0.157793064,-0.365952317,2.183921272,1.273271736,0.861821348,-0.925531234
267,0.309782636,-0.186235569,-0.37234751,2.194284101,1.176233568,0.784747795,-0.95038502
268,0.296430739,-0.220326406,-0.378742704,2.204125452,1.110189687,0.707674242,-0.975238805
269,0.283078841,-0.254417242,-0.385137898,2.206135003,1.056864131,0.638527438,-1.00009259
270,0.269726943,-0.288508079,-0.391533091,2.208144554,1.003538576,0.585507402,-1.024946375
271,0.256375046,-0.322598915,-0.397928285,2.210154104,0.950213021,0.532487365,-1.04980016
272,0.243023148,-0.358756393,-0.404323478,2.212163655,0.896887465,0.479467329,-1.074653945
273,0.229671251,-0.395302932,-0.410718672,2.211090866,0.84356191,0.426447292,-1.09950773
274,0.216319353,-0.431849472,-0.417113866,2.177338881,0.790236355,0.373427256,-1.124083744
275,0.206837442,-0.468396011,-0.423509059,2.143586897,0.7369108,0.320407219,-1.129841053
276,0.203753046,-0.51852774,-0.429904253,2.109834912,0.683585244,0.267387183,-1.135598362
277,0.20066865,-0.593435469,-0.435498838,2.076082927,0.630259689,0.214367146,-1.141355672
278,0.197584254,-0.668343199,-0.437953858,2.009288118,0.573229504,0.16134711,-1.147112981
279,0.194499858,-0.743250928,-0.440408878,1.941397993,0.500278074,0.108327074,-1.15287029
280,0.191415461,-0.764509496,-0.442863898,1.873507868,0.427326644,0.055307037,-1.158627599
281,0.188331065,-0.779157917,-0.445318918,1.805617744,0.354375214,-0.007472398,-1.164384908
282,0.172046631,-0.793806338,-0.447773938,1.737727619,0.281423785,-0.045458112,-1.170142218
283,0.154175001,-0.808454759,-0.450228958,1.671899926,0.208472355,-0.083443827,-1.175899527
284,0.136303371,-0.82310318,-0.452683978,1.616553468,0.135520925,-0.121429541,-1.181656836
285,0.11843174,-0.8377516,-0.464431258,1.561207011,0.062569495,-0.159415255,-1.187414145
286,0.10056011,-0.852400021,-0.477551404,1.505860554,-0.010381935,-0.197400969,-1.193171454
287,0.082688479,-0.867048442,-0.490671549,1.43738845,-0.08319927,-0.235386683,-1.198928763
288,0.064816849,-0.881696863,-0.503791695,1.36034755,-0.155996242,-0.273372397,-1.204686073
289,0.049133677,-0.896345284,-0.516911841,1.28330665,-0.228793213,-0.311358112,-1.210443382
290,0.040907776,-0.910993705,-0.530031986,1.181983909,-0.301590184,-0.349343826,-1.216200691
291,0.032681874,-0.925642125,-0.543152132,1.06878331,-0.37405029,-0.38732954,-1.221958
292,0.024455973,-0.940290546,-0.556272278,0.958357718,-0.445917917,-0.425315254,-1.227715309
293,0.016230072,-0.954938967,-0.569392423,0.858571671,-0.517785543,-0.463300968,-1.233472619
294,0.00800417,-0.969587388,-0.582512569,0.758785624,-0.589653169,-0.49887062,-1.239229928
295,-0.000221731,-0.984235809,-0.595632715,0.664055155,-0.661520795,-0.534327145,-1.244987237
296,-0.008447632,-0.99888423,-0.60875286,0.627325295,-0.729420407,-0.569783671,-1.250744546
297,-0.017978331,-1.01353265,-0.621873006,0.590595435,-0.785779809,-0.605240196,-1.257144752
298,-0.030218819,-1.028181071,-0.634993152,0.551202052,-0.842139211,-0.640696722,-1.265366584
299,-0.042459308,-1.042829492,-0.648113297,0.508762585,-0.898498613,-0.676153247,-1.273588416
300,-0.054699796,-1.057477913,-0.661015097,0.466323118,-0.954858016,-0.711609773,-1.281810248
301,-0.066940285,-1.072126334,-0.673249272,0.423883651,-1.011217418,-0.747066298,-1.290032079
302,-0.079180773,-1.086774755,-0.685483446,0.381705481,-1.081442289,-0.782522824,-1.298253911
303,-0.091421262,-1.101423175,-0.697717621,0.343604861,-1.15573438,-0.817979349,-1.306475743
304,-0.10366175,-1.116071596,-0.709951796,0.305504241,-1.230026471,-0.853435875,-1.314697575
305,-0.115825661,-1.130720017,-0.722185971,0.26740362,-1.304318562,-0.876248572,-1.322919406
306,-0.127825942,-1.145368438,-0.734420146,0.246808883,-1.387546836,-0.894390896,-1.331141238
307,-0.139826222,-1.160016859,-0.746654321,0.226883726,-1.473166011,-0.912533221,-1.33936307
308,-0.151826503,-1.17466528,-0.758888496,0.20695857,-1.558785185,-0.930675545,-1.347584902
309,-0.163826783,-1.1893137,-0.77112267,0.179245707,-1.601822142,-0.94881787,-1.355806734
310,-0.175827064,-1.203962121,-0.783356845,0.150174853,-1.624717468,-0.966960194,-1.364028565
311,-0.187827344,-1.218610542,-0.79559102,0.121103999,-1.647612795,-0.985102519,-1.372619901
312,-0.199827624,-1.233258963,-0.807825195,0.092033144,-1.660701387,-1.003244843,-1.381420355
313,-0.213289692,-1.247907384,-0.82005937,0.059352172,-1.670772472,-1.021387168,-1.390220809
314,-0.229872596,-1.262555804,-0.832293545,0.025725778,-1.680843557,-1.039529492,-1.399021263
315,-0.246455501,-1.277204225,-0.84452772,-0.007900616,-1.690914641,-1.057671817,-1.407821717
316,-0.263038405,-1.291852646,-0.856761894,-0.041527011,-1.700985726,-1.075814141,-1.416622172
317,-0.27962131,-1.306501067,-0.868996069,-0.077929203,-1.711056811,-1.093956466,-1.425422626
318,-0.296204215,-1.321149488,-0.881230244,-0.126724451,-1.721127895,-1.11209879,-1.43422308
319,-0.312787119,-1.335797909,-0.893464419,-0.175519698,-1.73119898,-1.130241115,-1.443023534
320,-0.329370024,-1.350446329,-0.905698594,-0.224314945,-1.741270065,-1.148383439,-1.451823988
321,-0.345952929,-1.36509475,-0.917932769,-0.273110193,-1.751341149,-1.166525764,-1.460624442
322,-0.361340709,-1.379743171,-0.930166944,-0.32190544,-1.761412234,-1.184668088,-1.469424896
323,-0.376647942,-1.394391592,-0.942401118,-0.387261533,-1.771483319,-1.202810413,-1.478225351
324,-0.391955175,-1.409040013,-0.954635293,-0.454548264,-1.779572118,-1.220952737,-1.487033297
325,-0.407262407,-1.423688434,-0.966869468,-0.521834995,-1.785259806,-1.239095062,-1.498388768
326,-0.42256964,-1.438336854,-0.979103643,-0.589121726,-1.790947493,-1.257237386,-1.50974424
327,-0.437876873,-1.452985275,-0.991337818,-0.658479647,-1.79663518,-1.275379711,-1.521099712
328,-0.453184105,-1.467633696,-1.003571993,-0.728112233,-1.802322867,-1.293522035,-1.532455183
329,-0.470630348,-1.482282117,-1.015806168,-0.797744819,-1.808010554,-1.31166436,-1.543810655
330,-0.493227683,-1.496930538,-1.028040342,-0.867377404,-1.813698242,-1.329806684,-1.555166127
331,-0.515825018,-1.511578959,-1.040274517,-0.92867449,-1.819385929,-1.347949009,-1.566521598
332,-0.538422353,-1.526227379,-1.052508692,-0.989378872,-1.825073616,-1.366091333,-1.57787707
333,-0.561019688,-1.5408758,-1.064742867,-1.050083253,-1.830761303,-1.384233658,-1.589232542
334,-0.583617024,-1.555524221,-1.076977042,-1.110787635,-1.83644899,-1.402375982,-1.600588013
335,-0.606214359,-1.570172642,-1.089211217,-1.171492017,-1.842136678,-1.420518307,-1.609684686
336,-0.628669764,-1.584821063,-1.101445392,-1.222435684,-1.846220975,-1.438660631,-1.614535826
337,-0.650425681,-1.599469484,-1.113679566,-1.24414937,-1.849524061,-1.456802956,-1.619386966
338,-0.672181598,-1.614117904,-1.125913741,-1.265863056,-1.852827148,-1.47494528,-1.624238106
339,-0.693937514,-1.628766325,-1.138147916,-1.287576742,-1.856130235,-1.493087605,-1.629089246
340,-0.715693431,-1.643414746,-1.150382091,-1.309290429,-1.859433322,-1.511229929,-1.633940386
341,-0.737449348,-1.658063167,-1.162616266,-1.331004115,-1.862736409,-1.529372254,-1.638791526
342,-0.759205264,-1.672711588,-1.174850441,-1.352717801,-1.866039496,-1.547514578,-1.643642666
343,-0.780961181,-1.687360009,-1.187084616,-1.374431487,-1.869342582,-1.565656903,-1.648493806
344,-0.802717098,-1.702008429,-1.19931879,-1.395027599,-1.872645669,-1.583799227,-1.653344946
345,-0.824473014,-1.71665685,-1.211552965,-1.41088709,-1.875948756,-1.601941552,-1.658196086
346,-0.846228931,-1.731305271,-1.22378714,-1.426746582,-1.879251843,-1.620083876,-1.663047226
347,-0.866654495,-1.745953692,-1.236021315,-1.442606073,-1.88255493,-1.638226201,-1.667898366
348,-0.885511716,-1.760602113,-1.24825549,-1.458465564,-1.885858016,-1.656368525,-1.673983766
349,-0.904368938,-1.775250533,-1.260489665,-1.474325056,-1.889161103,-1.67451085,-1.680431802
350,-0.923226159,-1.789898954,-1.27272384,-1.490184547,-1.89246419,-1.692653174,-1.686879838
351,-0.94208338,-1.804547375,-1.284958014,-1.506044038,-1.895767277,-1.710795499,-1.693327874
352,-0.960940601,-1.819195796,-1.297192189,-1.520924008,-1.899070364,-1.725631692,-1.699775909
353,-0.979797822,-1.833844217,-1.309426364,-1.519590137,-1.90237345,-1.735128522,-1.706223945
354,-0.998655043,-1.848492638,-1.321660539,-1.518256265,-1.905676537,-1.744625352,-1.71441
355,-1.017512265,-1.863141058,-1.333894714,-1.516922394,-1.913864155,-1.754122182,-1.737535312
356,-1.036369486,-1.877789479,-1.346128889,-1.515588522,-1.922582029,-1.763619012,-1.760660624
357,-1.055672829,-1.8924379,-1.358363064,-1.514254651,-1.931299903,-1.773115842,-1.783785936
358,-1.075441819,-1.907086321,-1.370597238,-1.512920779,-1.940017777,-1.782612672,-1.806911248
359,-1.095210809,-1.921734742,-1.382831413,-1.513418835,-1.948735651,-1.792109502,-1.83003656
360,-1.114979799,-1.936383163,-1.395065588,-1.518000241,-1.957453525,-1.801606332,-1.853161872
361,-1.134748789,-1.951031583,-1.407299763,-1.522581646,-1.966171399,-1.811103162,-1.876287184
362,-1.154517778,-1.965680004,-1.419533938,-1.527163051,-1.974889273,-1.820599992,-1.899412495
363,-1.174286768,-1.980328425,-1.431768113,-1.531744456,-1.983607147,-1.830096822,-1.922537807
364,-1.194055758,-1.994976846,-1.444002288,-1.536325862,-1.992325021,-1.839593652,-1.945663119
365,-1.213848095,-2.009625267,-1.456236462,-1.540907267,-2.001042895,-1.849090482,-1.966277745
366,-1.23365047,-2.024273688,-1.468470637,-1.545488672,-2.009760769,-1.858587312,-1.977277916
367,-1.253452845,-2.038922108,-1.480704812,-1.550070078,-2.018478643,-1.868084142,-1.988278086
368,-1.27325522,-2.053570529,-1.492938987,-1.554651483,-2.027196517,-1.877580972,-1.999278257
369,-1.293057595,-2.06821895,-1.505173162,-1.559232888,-2.035914391,-1.887077802,-2.010278428
370,-1.31285997,-2.082867371,-1.517407337,-1.570330264,-2.044632264,-1.896574632,-2.021278599
371,-1.332662345,-2.097515792,-1.529641512,-1.5827381,-2.053350138,-1.906071462,-2.032278769
