Image no,Image name,SentinelC1,SentinelC2,SentinelC3,SentinelC4,SentinelC5,SentinelC6,SentinelC7,SentinelC8,SentinelC9
743,20200401T024549_20200401T025705_T51STV.tif,103.6205,162.9219,156.9436,131.4816,132.5071,117.4511,30.74839,274.4516,305.535
744,20200421T024539_20200421T025119_T51STV.tif,102.6082,159.1755,155.4018,131.1264,133.4827,115.9864,29.86133,268.2606,308.5729
746,20200426T024551_20200426T024638_T51STV.tif,100.8003,156.2595,151.0445,128.5861,128.2505,112.9307,29.51824,268.2606,303.6081
747,20200506T024551_20200506T025705_T51STV.tif,99.78795,155.0127,151.4689,131.0498,129.2588,115.9864,29.15623,267.8197,303.6081
752,20200710T024549_20200710T025332_T51STV.tif,103.982,158.7588,154.5526,132.0663,130.5239,116.5166,28.71324,274.4478,306.5291
753,20200715T024551_20200715T025520_T51STV.tif,98.77571,154.5958,148.6533,127.1381,126.8207,111.441,23.33023,267.8695,300.205
754,20200720T024549_20200720T025126_T51STV.tif,103.982,159.1755,155.8268,130.6183,130.0032,115.5823,29.86133,275.3582,304.5629
756,20200819T024549_20200819T025732_T51STV.tif,101.2343,161.2527,154.2173,131.9896,127.6971,117.0216,29.59914,272.0292,304.5629
757,20200829T024549_20200829T025352_T51STV.tif,103.0421,162.9185,154.6417,132.0663,131.4989,116.1122,29.59914,274.0011,304.5629
758,20200903T024551_20200903T025058_T51STV.tif,100.8003,157.5065,151.4689,128.5861,128.1846,113.0571,25.97182,269.5836,301.3228
760,20200918T024549_20200918T025730_T51STV.tif,106.2237,162.4997,156.8545,135.317,133.4165,116.9206,30.30486,274.1135,308.9203
761,20200928T024549_20200928T025352_T51STV.tif,104.3437,165.4104,159.8486,136.7646,134.3257,117.9813,30.30486,275.3599,312.4287
763,20201008T024619_20201008T025417_T51STV.tif,106.2237,164.1689,158.8209,140.1683,137.6068,116.1122,34.9827,276.6605,310.7083
766,20201023T024751_20201023T024754_T51STV.tif,104.416,163.3353,155.8268,138.6442,136.6317,119.572,34.71997,274.8927,307.6468
768,20201102T024851_20201102T025647_T51STV.tif,106.8745,161.6678,156.4295,134.377,137.6402,118.2334,32.68427,277.5403,309.8593
769,20201107T024919_20201107T025722_T51STV.tif,109.6221,167.0778,163.0889,140.2452,137.6402,122.3751,36.31158,277.5403,311.8801
771,20201112T024951_20201112T024945_T51STV.tif,106.8745,166.2441,155.9157,133.4374,134.3918,117.0468,32.60275,277.0996,308.4062
773,20201207T025109_20201207T025108_T51STV.tif,104.4883,166.2441,155.1558,135.9778,130.5897,119.8499,29.15623,274.4499,305.077
775,20201212T025121_20201212T025115_T51STV.tif,101.6681,162.0828,151.4689,129.0942,128.2836,111.1885,27.30181,267.373,303.5357
776,20201217T025119_20201217T025120_T51STV.tif,106.2237,164.1615,156.5867,131.9896,130.5566,116.7691,30.12468,274.4478,306.7079
778,20201222T025131_20201222T025126_T51STV.tif,106.8021,162.0774,157.6146,132.4214,131.0443,116.6427,31.19193,275.328,306.5291
779,20201227T025119_20201227T025122_T51STV.tif,106.8021,165.8292,158.5528,132.4214,134.2927,116.2388,27.82679,275.328,306.5291
780,20210101T025121_20210101T025530_T51STV.tif,103.1143,159.1719,157.793,131.4052,130.069,112.2492,26.85827,275.328,303.4456
782,20210106T025109_20210106T025110_T51STV.tif,106.8745,160.4171,156.7651,134.377,131.9864,116.2388,31.01119,274.885,306.1052
