Image no,Image name,LandsatC1,LandsatC2,LandsatC3,LandsatC4,LandsatC5,LandsatC6,LandsatC7,LandsatC8,LandsatC9
610,LE07_120035_20171204.tif,,162.44,156.4467,,,,,270.4673,298.8938
612,LC08_120035_20171212.tif,98.41411,161.3786,154.4636,134.1479,130.5794,112.4003,23.41114,272.6744,295.6048
614,LE07_120035_20171220.tif,,156.4258,151.2229,,,,,265.6052,
615,LC08_120035_20171228.tif,105.4282,162.0873,159.2454,137.0435,138.1275,114.3955,28.26971,273.5602,292.2526
616,LE07_120035_20180105.tif,,156.0701,,,,,,,
618,LC08_120035_20180113.tif,101.2343,161.3802,158.6421,134.2246,128.4483,113.2087,23.50239,270.0242,292.7346
619,LC08_120035_20180129.tif,103.982,162.0841,157.2791,133.7928,,112.9307,28.22843,270.9066,297.2174
621,LE07_120035_20180206.tif,104.9944,167.7396,161.9719,133.2059,,,,270.4638,297.6156
623,LE07_120035_20180222.tif,,,,,,,,,301.5336
625,LC08_120035_20180302.tif,106.8382,161.1976,157.5252,136.6885,,113.4611,27.56399,271.7942,303.2938
626,LE07_120035_20180310.tif,,,,,,,,,302.8957
629,LE07_120035_20180326.tif,,,,,,,,,
633,LE07_120035_20180411.tif,107.2359,,,,,,,274.8889,303.21
635,LC08_120035_20180419.tif,104.2622,158.989,156.8545,133.7928,129.82,115.0775,27.03901,270.914,301.6175
636,LE07_120035_20180427.tif,,158.989,163.6027,,,,,271.8019,301.5336
638,LE07_120035_20180513.tif,,,,,,,,,
639,LC08_120035_20180521.tif,105.4825,162.0815,,,,115.6077,29.86476,274.4439,303.0423
641,LC08_120035_20180606.tif,107.5252,160.7644,156.676,130.1585,,117.6027,29.21355,271.7942,306.3312
646,LC08_120035_20180809.tif,103.4036,162.5283,,,,117.5236,,271.7903,299.2081
648,LC08_120035_20180825.tif,103.1143,160.7586,156.9917,131.444,,115.33,29.45626,270.4673,303.692
651,LE07_120035_20180902.tif,,164.2961,164.1168,,,,,,
654,LC08_120035_20180910.tif,105.2836,162.0892,157.4576,131.111,134.2927,115.1782,31.16779,270.0281,296.3177
655,LE07_120035_20180918.tif,,,,,,,,274.4516,308.1748
656,LC08_120035_20180926.tif,106.2959,160.7623,154.6417,131.111,132.47,118.5367,37.69834,269.5853,296.883
658,LE07_120035_20181004.tif,,158.1049,158.1283,,,,,267.8158,294.558
660,LC08_120035_20181012.tif,105.2836,160.3176,156.8545,129.2773,130.2771,116.1381,31.01119,268.2645,299.1247
662,LE07_120035_20181020.tif,,158.107,,,,,,268.6956,297.8465
664,LC08_120035_20181028.tif,105.356,162.0834,151.8939,128.8011,130.2771,115.9864,27.57722,266.485,294.1594
666,LC08_120035_20181113.tif,,162.0834,155.4018,,,115.0143,,270.9101,296.7992
670,LC08_120035_20181215.tif,107.6518,161.2052,156.3407,141.6825,132.4387,115.8902,33.53109,271.7942,299.5229
672,LE07_120035_20181223.tif,,,157.2791,,,,,,300.9683
675,LC08_120035_20181231.tif,105.7175,160.3193,158.7316,125.5385,134.7805,113.4045,,268.6978,293.3631
677,LC08_120035_20190116.tif,103.8374,157.2251,158.7316,126.1982,130.4906,113.4045,,272.2372,301.7645
680,LE07_120035_20190124.tif,,,153.5245,,,,,271.3496,300.0882
682,LC08_120035_20190201.tif,103.982,159.1719,150.7091,126.1982,125.9115,110.8952,28.63755,267.3708,301.1355
684,LC08_120035_20190217.tif,104.8498,161.6713,156.676,128.7388,128.4483,114.1178,,268.2528,299.6901
685,LE07_120035_20190225.tif,,,,,,,,269.5853,305.1368
686,LE07_120035_20190313.tif,,,,,,,,267.373,303.6081
689,LC08_120035_20190406.tif,105.7898,164.5821,156.676,129.9435,128.0221,114.5171,30.83444,269.5836,298.5594
690,LE07_120035_20190414.tif,,,154.8878,,,,,278.873,302.728
698,LE07_120035_20190703.tif,,,,,,,,,311.8418
699,LC08_120035_20190711.tif,107.6699,163.3353,151.6477,130.0869,,114.0199,28.71324,262.8055,311.9875
702,LE07_120035_20190820.tif,,158.987,,,,,,270.9083,301.6807
704,LC08_120035_20190828.tif,106.7298,159.5923,154.4636,126.7066,128.0221,110.8952,28.63755,268.2549,299.3758
706,LE07_120035_20190905.tif,,155.4275,159.67,,,,,273.558,307.1275
710,LC08_120035_20190929.tif,103.9098,159.5906,157.5469,128.3247,128.0221,110.2557,29.15623,271.3553,303.3777
713,LC08_120035_20191015.tif,103.9098,162.0854,155.4911,125.2772,125.8911,116.2688,28.63755,269.1425,308.3847
715,LE07_120035_20191023.tif,,,156.8545,,,,,,306.4151
718,LC08_120035_20191031.tif,106.2959,163.7485,154.8878,125.2588,129.061,114.6479,27.50201,267.8137,298.2447
720,LE07_120035_20191108.tif,,,156.8545,,,,,,
723,LC08_120035_20191202.tif,105.8622,158.5402,153.0107,125.1834,125.3581,114.0199,25.44684,270.0242,300.3397
726,LE07_120035_20191210.tif,,,,,,,,,297.1336
727,LC08_120035_20191218.tif,,158.9811,,126.6345,,111.8894,27.03901,269.5797,292.965
728,LE07_120035_20191226.tif,,,,,,,,,
730,LC08_120035_20200103.tif,,160.8376,153.7231,127.6587,,115.0143,,273.123,301.9322
733,LC08_120035_20200119.tif,104.9944,162.9185,153.3462,126.3731,125.0697,113.1439,23.25907,270.4673,297.365
