Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
23,LT05_120035_19871007.tif,1987/10/7,-1.561497444,201.7366,,,,,,291.8438,,356.8643,
24,LT05_120035_19871108.tif,1987/11/8,-1.301783905,203.5283,,,214.5133,,369.1996,280.5381,392.5487,314.5209,412.7964
25,LT05_120035_19871226.tif,1987/12/26,0.47036598,196.4524,,,182.1507,,,181.8706,,176.6072,
26,LT05_120035_19880111.tif,1988/1/11,0.294259442,189.4111,,,188.9924,,,185.9624,,177.3203,
27,LT05_120035_19880315.tif,1988/3/15,-1.254402411,222.3378,,,,,,319.212,,371.1727,
28,LT05_120035_19880331.tif,1988/3/31,-1.475181002,212.1215,,,,,,340.4048,,383.6701,429.6115
29,LT05_120035_19880603.tif,1988/6/3,0.253503389,195.2096,,,189.9102,,,187.6231,,179.7224,222.7881
30,LT05_120035_19880705.tif,1988/7/5,1.560430196,190.7746,,,,,,177.4887,,180.8201,217.4217
31,LT05_120035_19881009.tif,1988/10/9,-1.049930894,201.5261,,,200.6151,,,256.7938,,311.0213,
32,LT05_120035_19881025.tif,1988/10/25,-1.80155904,235.1572,288.716,,,,,377.3573,,392.743,
33,LT05_120035_19881110.tif,1988/11/10,-1.826837262,235.4053,318.0573,,,,,388,,398.3632,
34,LT05_120035_19881126.tif,1988/11/26,-1.394015099,212.9103,,,,,402.3761,350.3516,403.4986,376.9243,420.3106
35,LT05_120035_19881212.tif,1988/12/12,-1.248858915,201.7366,,,204.5918,,391.6643,,384.7887,305.2229,382.5807
36,LT05_120035_19890113.tif,1989/1/13,0.397306125,200.0876,,,190.138,,,175.2526,,175.9411,223.3204
37,LT04_120035_19890121.tif,1989/1/21,-2.204015873,229.2376,308.9694,,,,,379.8485,,393.4843,439.9771
38,LT05_120035_19890129.tif,1989/1/29,0.360320553,196.5779,,,189.5915,,,177.4897,,176.5792,
39,LT04_120035_19890206.tif,1989/2/6,-2.239191996,236.8938,290.4525,,,,,383.1109,,386.9167,
40,LT05_120035_19890214.tif,1989/2/14,0.211298451,195.3843,,,191.2085,,,181.8706,,174.1772,
41,LT04_120035_19890310.tif,1989/3/10,-1.158465703,204.1621,,,205.212,,,191.0137,,279.2335,
42,LT05_120035_19890403.tif,1989/4/3,-1.030270761,213.1896,,,,,,280.25,,369.437,
43,LT05_120035_19890505.tif,1989/5/5,-1.405332629,215.4465,,,,,,364.0885,,377.5904,
44,LT05_120035_19890521.tif,1989/5/21,-0.778152684,196.6469,,,208.4047,,,204.0876,,,
45,LT05_120035_19890606.tif,1989/6/6,0.144300256,,,,,,,180.8793,,179.6472,
46,LT05_120035_19890622.tif,1989/6/22,0.334808091,195.1406,,,192.3701,,,176.4983,,178.5213,
47,LT05_120035_19890809.tif,1989/8/9,1.143834012,193.782,,,184.339,,,175.0652,,176.3727,
48,LT05_120035_19891012.tif,1989/10/12,-0.647980163,199.295,,,213.0968,,,,363.9733,319.3249,
49,LT05_120035_19891028.tif,1989/10/28,-1.299452395,215.3419,,,231.2723,,,346.4792,,347.6884,
50,LT05_120035_19891113.tif,1989/11/13,-2.139263701,,,466.662,,,419.0275,388.4154,,410.401,
51,LT05_120035_19891129.tif,1989/11/29,-1.791583481,,,,,,,366.0713,,,
52,LT05_120035_19891215.tif,1989/12/15,-1.456309972,209.1496,,,208.6232,,,,,339.2065,
53,LT05_120035_19900116.tif,1990/1/16,-0.026732193,187.8358,,,187.291,,,179.9206,,178.7277,
54,LT05_120035_19900201.tif,1990/2/1,0.45744934,187.6193,,,188.6592,,,172.54,,176.9356,
55,LT05_120035_19900305.tif,1990/3/5,0.349105517,193.4277,,,190.2063,,,179.1241,,177.1421,
56,LT05_120035_19900508.tif,1990/5/8,-0.979572203,201.4658,,,215.0327,,,239.3052,,335.0406,
57,LT05_120035_19900524.tif,1990/5/24,-1.100557501,222.5876,,,217.6156,,,,,,
58,LT05_120035_19900609.tif,1990/6/9,-0.420804198,201.6553,,,202.0728,,,208.622,,199.8573,
59,LT05_120035_19900828.tif,1990/8/28,1.041220686,198.5392,,,185.6738,,,164.8035,,176.0162,
60,LT05_120035_19900913.tif,1990/9/13,0.826858778,199.6483,,,186.9037,,,167.6168,,177.067,
61,LT05_120035_19901015.tif,1990/10/15,-0.516485547,209.6148,,,207.6463,,,215.0789,,294.5643,
